strategy,query_id,difficulty,query,gold_answer,Accuracy@1,Recall@5,Recall@10,MRR,Latency_s,generated_answer,retrieved_top_chunk,hyde_hypothetical
Sparse (BM25),Q01,easy,What is the module Advanced Machine Learning about?,"Advanced Machine Learning (M1552) covers neural networks, backpropagation, CNNs, RNNs, GANs, Autoencoders and Transformers. It is worth 6 CP, examined by a 90-minute written exam, and taught in English in the winter semester.",0,1,1,0.333,8.43,,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q02,easy,How many credit points is the Advanced Machine Learning module worth?,6 credit points (CP).,0,1,1,0.25,3.88,,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q03,easy,What are the recommended prerequisites for Advanced Machine Learning?,"Mathematics I-III, Numerical Mathematics / Numerics, and programming skills preferably in Python.",1,1,1,1.0,5.15,,Module M2001: Reinforcement Learning |  | Courses |  | Title |  | Reinforcement Learning (L3305) |  | Reinforcement Learning (L3306) |  | Module Responsible Dr. Manfred Eppe |  | Admission Requirements None |  | Recommended Previous |  | Knowledge |  | Lectures at TUHH: |  | Machine Learning I and II |  | Advanced Machine Learning |  | Programming Paradigms |  | Additional recommended knowledge and prerequisites: |  | Typ |  | Lecture |  | Project-/problem-based Learning |  | Hrs/wk |  | 2 |  | ,N/A
Sparse (BM25),Q04,easy,Who is responsible for the Advanced Machine Learning module at TUHH?,Dr. Jens-Peter Zemke.,0,1,1,0.5,5.23,,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q05,easy,What type of examination does the Advanced Machine Learning module use?,"Written exam, 90 minutes.",0,1,1,0.2,4.92,,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q06,medium,What topics are taught in the Advanced Machine Learning lecture?,Basics of neural nets; feedforward networks and backpropagation; CNNs; RNNs; adversarial attacks; residual networks; neural ODEs; autoencoders; GANs; attention and transformers.,0,1,1,0.5,5.09,,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q07,easy,In which semester is the Advanced Machine Learning course offered?,Winter semester (WiSe).,0,0,0,0.0,5.24,,"The course content of semester 3 (year 2) depends on which partner institution is chosen. Based on their speciﬁc core competencies each partner oﬀers | courses which complement / deepen the  study program of the first year. |  | In semester 4 all students undertake a thesis project at the institution where they spent the 3rd semester. |  |  | Module Manual M.Sc. ""Global Technology and Innovation Management & | Entrepreneurship"" |  | Core Qualification",N/A
Sparse (BM25),Q08,medium,Is Advanced Machine Learning compulsory for Data Science students?,Yes — it is listed as Core Qualification: Compulsory in the Data Science curriculum.,1,1,1,1.0,5.52,,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q09,medium,Which TUHH programs include Advanced Machine Learning in their curriculum?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, and Theoretical Mechanical Engineering.",0,0,0,0.0,5.23,,"Following Curricula |  |  | Module Manual M.Sc. ""Data Science"" |  | Module M2073: Advanced Ethics of Machine Learning |  | Courses |  | Title |  | Advanced Ethics of Machine Learning (L3399) |  | Case Studies in Advanced Ethics of Machine Learning (L3400) |  | Module Responsible Prof. Maximilian Kiener |  | Admission Requirements None |  | Recommended Previous |  | Basics of machine learning |  | Knowledge |  | Typ |  | Lecture |  | Seminar |  | Hrs/wk |  | 2 |  | 2 |  | CP |  | 3 |  | 3",N/A
Sparse (BM25),Q10,medium,What is the workload for the Advanced Machine Learning module?,Total workload 124 hours: Independent Study Time 62 h + Study Time in Lecture 28 h for the course component.,0,0,0,0.0,4.94,,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q11,medium,How many hours per week is the Advanced Machine Learning lecture?,2 hours/week lecture + 2 hours/week recitation (small group) = 4 hrs/wk total.,0,0,0,0.0,4.84,,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q12,hard,What is the difference between Core Qualification and Elective modules in the Data Science program?,Core Qualification modules are compulsory for all program students. Elective modules are optional and allow specialisation in a sub-field.,1,1,1,1.0,4.69,,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q13,hard,How many total credit points are needed to finish the Data Science master?,120 credit points — standard for a 4-semester German M.Sc.,0,0,0,0.0,5.08,,"Program structure |  | The curriculum of the master's program ""Materials Science and Engineering"" is structured as follows: |  | Core qualiﬁcation: 1.-3. Semester, a total of 66 credit points. In the core qualiﬁcation, the modules ""Non-technical supplementary courses in the Master"" | and ""Operation & Management"" are also anchored with six credit points each.",N/A
Sparse (BM25),Q14,medium,I love mathematics and programming. What should I study at TUHH?,Data Science or Computer Science would suit you well — both require strong mathematical foundations and programming (Python).,0,0,0,0.0,5.54,,"Basics  of  mechanics  as  taught,  e.g.,  in  the  modules  Engineering  Mechanics  I  and  Engineering  Mechanics  II  at  TUHH  (forces  and |  | Knowledge |  | moments, stress, linear strain, free-body principle, linear-elastic constitutive laws, strain energy); basics of mathematics as taught, |  | e.g., in the modules Mathematics I and Mathematics II at TUHH |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional Co",N/A
