strategy,query_id,difficulty,query,gold_answer,Accuracy@1,Recall@5,Recall@10,MRR,Latency_s,generated_answer,retrieved_top_chunk,hyde_hypothetical
Sparse (BM25),Q01,easy,What is the module Advanced Machine Learning about?,"Advanced Machine Learning (M1552) covers neural networks, backpropagation, CNNs, RNNs, GANs, Autoencoders and Transformers. It is worth 6 CP, examined by a 90-minute written exam, and taught in English in the winter semester.",0,1,1,0.5,1.99,"The module Advanced Machine Learning covers topics related to machine learning, including linear models and regression, big data, information geometry, and ethics of machine learning. It also includes a seminar on scientific methods, research projects, and interdisciplinary compulsory modules on operations & management and non-technical courses. Additionally, it offers","Courses |  | Title |  | Module Responsible Prof. Stefan Schulte |  | Admission Requirements None |  | Typ |  | Hrs/wk |  | CP |  | Recommended Previous |  | See selected module according to Subject Specific Regulations |  | Knowledge |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional Competence |  | Knowledge See selected module according to Subject Specific Regulations |  | Skills See selected module according to Su",N/A
Sparse (BM25),Q02,easy,How many credit points is the Advanced Machine Learning module worth?,6 credit points (CP).,0,1,1,0.333,1.35,"The Advanced Machine Learning module is worth 3 credit points, as indicated by its course responsible Prof. Jens-Peter Zemke and its admission requirements.","Courses |  | Title |  | Module Responsible Prof. Stefan Schulte |  | Admission Requirements None |  | Typ |  | Hrs/wk |  | CP |  | Recommended Previous |  | See selected module according to Subject Specific Regulations |  | Knowledge |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional Competence |  | Knowledge See selected module according to Subject Specific Regulations |  | Skills See selected module according to Su",N/A
Sparse (BM25),Q03,easy,What are the recommended prerequisites for Advanced Machine Learning?,"Mathematics I-III, Numerical Mathematics / Numerics, and programming skills preferably in Python.",1,1,1,1.0,1.79,"Based on the provided context, the recommended previous knowledge for Advanced Machine Learning (L2322) is: |  | Machine Learning I and II at TUHH. |  | This is mentioned in the lectures at TUHH as ""Knowledge"" required for this course.","Language EN |  | Cycle WiSe |  | Content Accompanying exercise for the traffic engineering course |  | Literature Literatur: |  | U. Killat, Entwurf und Analyse von Kommunikationsnetzen, Springer |  | Weitere Literatur wird in der Lehrveranstaltung bekanntgegeben / Literature: |  | U. Killat, Entwurf und Analyse von Kommunikationsnetzen, Springer |  | further literature announced in the lecture |  |  | Module Manual M.Sc. ""Information and Communication | Systems"" |  | Focus Software and Signal P",N/A
Sparse (BM25),Q04,easy,Who is responsible for the Advanced Machine Learning module at TUHH?,Dr. Jens-Peter Zemke.,0,1,1,0.5,1.26,The Advanced Machine Learning module at TUHH is taught by Dr. Jens-Peter Zemke.,"Courses |  | Title |  | Module Responsible Prof. Stefan Schulte |  | Admission Requirements None |  | Typ |  | Hrs/wk |  | CP |  | Recommended Previous |  | See selected module according to Subject Specific Regulations |  | Knowledge |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional Competence |  | Knowledge See selected module according to Subject Specific Regulations |  | Skills See selected module according to Su",N/A
Sparse (BM25),Q05,easy,What type of examination does the Advanced Machine Learning module use?,"Written exam, 90 minutes.",0,1,1,0.5,1.24,"The Advanced Machine Learning module uses a combination of theoretical and practical work in an existing haptic applications and research in that field with many examples, as well as literature.","Courses |  | Title |  | Module Responsible Prof. Stefan Schulte |  | Admission Requirements None |  | Typ |  | Hrs/wk |  | CP |  | Recommended Previous |  | See selected module according to Subject Specific Regulations |  | Knowledge |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional Competence |  | Knowledge See selected module according to Subject Specific Regulations |  | Skills See selected module according to Su",N/A
Sparse (BM25),Q06,medium,What topics are taught in the Advanced Machine Learning lecture?,Basics of neural nets; feedforward networks and backpropagation; CNNs; RNNs; adversarial attacks; residual networks; neural ODEs; autoencoders; GANs; attention and transformers.,0,1,1,0.2,1.53,"The Advanced Machine Learning lecture at TUHH covers topics such as Mathematics I-III, Numerical Mathematics 1/ Numerics, and Programming skills, preferably in Python.","Courses |  | Title |  | Advanced Ethics of Machine Learning (L3399) |  | Case Studies in Advanced Ethics of Machine Learning (L3400) |  | Module Responsible Prof. Maximilian Kiener |  | Admission Requirements None |  | Recommended Previous |  | Basics of machine learning |  | Knowledge |  | Typ |  | Lecture |  | Seminar |  | Hrs/wk |  | 2 |  | 2 |  | CP |  | 3 |  | 3 |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional",N/A
Sparse (BM25),Q07,easy,In which semester is the Advanced Machine Learning course offered?,Winter semester (WiSe).,0,0,0,0.0,1.53,"The Advanced Machine Learning course is offered in Semester 4 of the Master's program ""Global Technology and Innovation Management & Entrepreneurship"" (G-TIME).","statistics, and the application of machine learning algorithms are covered. Students are given various tools for later practical application. |  | The course utilizes the machine learning methods learned in ""Basics of Machine Learning"". These are used and evaluated in the context of practical application |  | in  the  ﬁeld  of  traﬃc  and  logistics.  In  addition,  various  pre-processing  steps  for  raw  data  are  presented  and  it  is  discussed,  under  which  conditions  these |  | measu",N/A
Sparse (BM25),Q08,medium,Is Advanced Machine Learning compulsory for Data Science students?,Yes — it is listed as Core Qualification: Compulsory in the Data Science curriculum.,1,1,1,1.0,1.87,"No, Advanced Machine Learning is not a compulsory module for the Master of Science (M.Sc.) ""Data Science"" at TUHH. According to the Module Manual, it is one of the specializations available within the program, but it can be chosen as an additional module from the master courses of the","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning |  | In  addition,  the  core  qualiﬁcation  contains  a  seminar  (3  CP),  a  lecture  on  scientiﬁc  methods  (3  CP),  a  research  project  (12  CP)  as  well  as  the | interdisciplinary  compulsory  modules ",N/A
Sparse (BM25),Q09,medium,Which TUHH programs include Advanced Machine Learning in their curriculum?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, and Theoretical Mechanical Engineering.",0,0,0,0.0,1.69,"Based on the provided context, the following TUHH programs include Advanced Machine Learning in their curriculum: |  | 1. Master in Data Science | 2. Master in Computer Science (specifically Module M1552: Advanced Machine Learning)",existing haptic applications and research in that field with many examples. |  | Motivation and application of haptic systems |  | Haptic perception |  | The role of the user in direct system interaction |  | Development of haptic systems |  | Identification of requirements |  | System-structure and control |  | Kinematic fundamentals |  | Actuation & Sensors technology for haptic applications |  | Control and system-design aspects |  | Fundamental considerations in simulating haptics |  | Liter,N/A
Sparse (BM25),Q10,medium,What is the workload for the Advanced Machine Learning module?,Total workload 124 hours: Independent Study Time 62 h + Study Time in Lecture 28 h for the course component.,0,0,0,0.0,1.93,"The workload for the Advanced Machine Learning module at TUHH consists of: |  | * Independent Study Time (IST): 62 hours | * Lecture Hours per week: 2 hours | * Credit points: 6 |  | This translates to a total workload of approximately 124-156 hours per semester, depending on","What can be simulated and how to use the results of such ice model tests |  | 3.  Computational Modelling of Ice-Structure Interaction Processes |  | Dynamic fracture and continuum mechanics for modelling ice-structure interaction processes |  | Alternative  numerical  crack  propagation  modelling  methods.  Examples  of  cohesive  element  models  for  real  life |  | structures. |  | Discussion of contribution of ice properties, hydrodynamics and rubble. |  | 4.  Ice Design Philosophies and P",N/A
Sparse (BM25),Q11,medium,How many hours per week is the Advanced Machine Learning lecture?,2 hours/week lecture + 2 hours/week recitation (small group) = 4 hrs/wk total.,0,1,1,0.2,1.22,The Advanced Machine Learning lecture has a workload of 2 hours per week.,existing haptic applications and research in that field with many examples. |  | Motivation and application of haptic systems |  | Haptic perception |  | The role of the user in direct system interaction |  | Development of haptic systems |  | Identification of requirements |  | System-structure and control |  | Kinematic fundamentals |  | Actuation & Sensors technology for haptic applications |  | Control and system-design aspects |  | Fundamental considerations in simulating haptics |  | Liter,N/A
Sparse (BM25),Q12,hard,What is the difference between Core Qualification and Elective modules in the Data Science program?,Core Qualification modules are compulsory for all program students. Elective modules are optional and allow specialisation in a sub-field.,1,1,1,1.0,1.93,"In the Data Science program at TUHH, the main difference between Core Qualification and Elective modules lies in their focus and requirements. |  | Core Qualification (66 CP) modules are compulsory and cover a broad range of topics related to data science, such as advanced machine learning, linear models and regression,","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning |  | In  addition,  the  core  qualiﬁcation  contains  a  seminar  (3  CP),  a  lecture  on  scientiﬁc  methods  (3  CP),  a  research  project  (12  CP)  as  well  as  the | interdisciplinary  compulsory  modules ",N/A
