strategy,query_id,difficulty,query,gold_answer,Accuracy@1,Recall@5,Recall@10,MRR,Latency_s,generated_answer,retrieved_top_chunk,hyde_hypothetical
Sparse (BM25),Q01,easy,What is the module Advanced Machine Learning about?,"Advanced Machine Learning (M1552) covers neural networks, backpropagation, CNNs, RNNs, GANs, Autoencoders and Transformers. It is worth 6 CP, examined by a 90-minute written exam, and taught in English in the winter semester.",0,1,1,0.5,5.65,"The module Advanced Machine Learning (L2322) is part of the Master's program in Data Science and covers topics related to machine learning, including linear models and regression, big data, information geometry, and more. This module is likely to be of interest to students who want to develop their skills in","Courses |  | Title |  | Module Responsible Prof. Stefan Schulte |  | Admission Requirements None |  | Typ |  | Hrs/wk |  | CP |  | Recommended Previous |  | See selected module according to Subject Specific Regulations |  | Knowledge |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional Competence |  | Knowledge See selected module according to Subject Specific Regulations |  | Skills See selected module according to Su",N/A
Sparse (BM25),Q02,easy,How many credit points is the Advanced Machine Learning module worth?,6 credit points (CP).,0,1,1,0.333,3.67,The Advanced Machine Learning module is worth 3 credit points (CP).,"Courses |  | Title |  | Module Responsible Prof. Stefan Schulte |  | Admission Requirements None |  | Typ |  | Hrs/wk |  | CP |  | Recommended Previous |  | See selected module according to Subject Specific Regulations |  | Knowledge |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional Competence |  | Knowledge See selected module according to Subject Specific Regulations |  | Skills See selected module according to Su",N/A
Sparse (BM25),Q03,easy,What are the recommended prerequisites for Advanced Machine Learning?,"Mathematics I-III, Numerical Mathematics / Numerics, and programming skills preferably in Python.",1,1,1,1.0,5.4,"For the module ""M.Sc. Data Science"" and specifically ""Advanced Machine Learning (L2322/L2323)"", the recommended previous knowledge includes: |  | * Mathematics I-III | * Programming Paradigms | * Python programming, including libraries for neural networks, deep learning, and data visualization (e","Language EN |  | Cycle WiSe |  | Content Accompanying exercise for the traffic engineering course |  | Literature Literatur: |  | U. Killat, Entwurf und Analyse von Kommunikationsnetzen, Springer |  | Weitere Literatur wird in der Lehrveranstaltung bekanntgegeben / Literature: |  | U. Killat, Entwurf und Analyse von Kommunikationsnetzen, Springer |  | further literature announced in the lecture |  |  | Module Manual M.Sc. ""Information and Communication | Systems"" |  | Focus Software and Signal P",N/A
Sparse (BM25),Q04,easy,Who is responsible for the Advanced Machine Learning module at TUHH?,Dr. Jens-Peter Zemke.,0,1,1,0.5,4.2,The Advanced Machine Learning module (L2322) is taught by Prof. Dr. Jens-Peter Zemke.,"Courses |  | Title |  | Module Responsible Prof. Stefan Schulte |  | Admission Requirements None |  | Typ |  | Hrs/wk |  | CP |  | Recommended Previous |  | See selected module according to Subject Specific Regulations |  | Knowledge |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional Competence |  | Knowledge See selected module according to Subject Specific Regulations |  | Skills See selected module according to Su",N/A
Sparse (BM25),Q05,easy,What type of examination does the Advanced Machine Learning module use?,"Written exam, 90 minutes.",0,1,1,0.5,3.22,"The Advanced Machine Learning module uses an examination subject consisting of theoretical and practical work, with no specific duration or scale mentioned in the provided context.","Courses |  | Title |  | Module Responsible Prof. Stefan Schulte |  | Admission Requirements None |  | Typ |  | Hrs/wk |  | CP |  | Recommended Previous |  | See selected module according to Subject Specific Regulations |  | Knowledge |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional Competence |  | Knowledge See selected module according to Subject Specific Regulations |  | Skills See selected module according to Su",N/A
Sparse (BM25),Q06,medium,What topics are taught in the Advanced Machine Learning lecture?,Basics of neural nets; feedforward networks and backpropagation; CNNs; RNNs; adversarial attacks; residual networks; neural ODEs; autoencoders; GANs; attention and transformers.,0,1,1,0.2,4.58,"The Advanced Machine Learning lecture (L2322) covers topics such as mathematics I-III, numerical mathematics 1/numerics, and programming skills, preferably in Python.","Courses |  | Title |  | Advanced Ethics of Machine Learning (L3399) |  | Case Studies in Advanced Ethics of Machine Learning (L3400) |  | Module Responsible Prof. Maximilian Kiener |  | Admission Requirements None |  | Recommended Previous |  | Basics of machine learning |  | Knowledge |  | Typ |  | Lecture |  | Seminar |  | Hrs/wk |  | 2 |  | 2 |  | CP |  | 3 |  | 3 |  | Educational Objectives After taking part successfully, students have reached the following learning results |  | Professional",N/A
Sparse (BM25),Q07,easy,In which semester is the Advanced Machine Learning course offered?,Winter semester (WiSe).,0,0,0,0.0,4.14,The Advanced Machine Learning course is offered in semester 4.,"statistics, and the application of machine learning algorithms are covered. Students are given various tools for later practical application. |  | The course utilizes the machine learning methods learned in ""Basics of Machine Learning"". These are used and evaluated in the context of practical application |  | in  the  ﬁeld  of  traﬃc  and  logistics.  In  addition,  various  pre-processing  steps  for  raw  data  are  presented  and  it  is  discussed,  under  which  conditions  these |  | measu",N/A
Sparse (BM25),Q08,medium,Is Advanced Machine Learning compulsory for Data Science students?,Yes — it is listed as Core Qualification: Compulsory in the Data Science curriculum.,1,1,1,1.0,3.98,"Yes, Advanced Machine Learning is a compulsory module (6 CP) as part of the core qualification for Master's students in Data Science.","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning |  | In  addition,  the  core  qualiﬁcation  contains  a  seminar  (3  CP),  a  lecture  on  scientiﬁc  methods  (3  CP),  a  research  project  (12  CP)  as  well  as  the | interdisciplinary  compulsory  modules ",N/A
Sparse (BM25),Q09,medium,Which TUHH programs include Advanced Machine Learning in their curriculum?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, and Theoretical Mechanical Engineering.",0,0,0,0.0,5.32,"The Advanced Machine Learning course is part of the following two Master's programs at TUHH: |  | 1. M.Sc. ""Data Science"" - This program matches your interest in machine learning, as it provides a comprehensive education in this field. | 2. M.Sc. ""Computer Science"" - Although not exclusively",existing haptic applications and research in that field with many examples. |  | Motivation and application of haptic systems |  | Haptic perception |  | The role of the user in direct system interaction |  | Development of haptic systems |  | Identification of requirements |  | System-structure and control |  | Kinematic fundamentals |  | Actuation & Sensors technology for haptic applications |  | Control and system-design aspects |  | Fundamental considerations in simulating haptics |  | Liter,N/A
Sparse (BM25),Q10,medium,What is the workload for the Advanced Machine Learning module?,Total workload 124 hours: Independent Study Time 62 h + Study Time in Lecture 28 h for the course component.,0,0,0,0.0,4.78,The workload for the Advanced Ethics of Machine Learning (L3399) module consists of: |  | - Independent Study Time: 62 hours | - Study Time in Lecture: 28 hours,"What can be simulated and how to use the results of such ice model tests |  | 3.  Computational Modelling of Ice-Structure Interaction Processes |  | Dynamic fracture and continuum mechanics for modelling ice-structure interaction processes |  | Alternative  numerical  crack  propagation  modelling  methods.  Examples  of  cohesive  element  models  for  real  life |  | structures. |  | Discussion of contribution of ice properties, hydrodynamics and rubble. |  | 4.  Ice Design Philosophies and P",N/A
