strategy,query_id,difficulty,query,gold_answer,Accuracy@1,Recall@5,Recall@10,MRR,Latency_s,generated_answer,retrieved_top_chunk,hyde_hypothetical
Sparse (BM25),Q01,easy,What is the module Advanced Machine Learning about?,"Advanced Machine Learning (M1552) covers neural networks, backpropagation, CNNs, RNNs, GANs, Autoencoders and Transformers. It is worth 6 CP, examined by a 90-minute written exam, and taught in English in the winter semester.",0,1,1,0.333,1.1,"The module Advanced Machine Learning (L2322) covers topics such as linear models and regression, big data, information geometry, and advanced ethics of machine learning.","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q02,easy,How many credit points is the Advanced Machine Learning module worth?,6 credit points (CP).,0,1,1,0.25,0.51,The Advanced Machine Learning module is worth 6 credit points.,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q03,easy,What are the recommended prerequisites for Advanced Machine Learning?,"Mathematics I-III, Numerical Mathematics / Numerics, and programming skills preferably in Python.",1,1,1,1.0,1.46,"Based on the provided context, I recommend the Master in Data Science (M.Sc.) program at TUHH as it covers advanced machine learning concepts, which aligns with the Reinforcement Learning module. The M.Sc. program is a core qualification that includes compulsory modules such as Advanced Machine Learning, Linear Models",Module M2001: Reinforcement Learning |  | Courses |  | Title |  | Reinforcement Learning (L3305) |  | Reinforcement Learning (L3306) |  | Module Responsible Dr. Manfred Eppe |  | Admission Requirements None |  | Recommended Previous |  | Knowledge |  | Lectures at TUHH: |  | Machine Learning I and II |  | Advanced Machine Learning |  | Programming Paradigms |  | Additional recommended knowledge and prerequisites: |  | Typ |  | Lecture |  | Project-/problem-based Learning |  | Hrs/wk |  | 2 |  | ,N/A
Sparse (BM25),Q04,easy,Who is responsible for the Advanced Machine Learning module at TUHH?,Dr. Jens-Peter Zemke.,0,1,1,0.5,0.92,"The Advanced Machine Learning module at TUHH is taught by Dr. Manfred Eppe, who is listed as the Module Responsible.","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q05,easy,What type of examination does the Advanced Machine Learning module use?,"Written exam, 90 minutes.",0,1,1,0.2,1.42,"I don't have enough information about the specific examination used by the ""Advanced Machine Learning"" module in the Master in Data Science program. However, based on the provided context, it appears that this module is part of a broader curriculum that includes courses such as ""Data Science"", ""Mechatronics"",","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q06,medium,What topics are taught in the Advanced Machine Learning lecture?,Basics of neural nets; feedforward networks and backpropagation; CNNs; RNNs; adversarial attacks; residual networks; neural ODEs; autoencoders; GANs; attention and transformers.,0,1,1,0.5,1.63,"The Advanced Machine Learning lecture is taught by Prof. Jens-Peter Zemke and covers topics such as: |  | - Linear Models and Regression | - Big Data | - Information Geometry | - Advanced Ethics of Machine Learning |  | These topics are part of Module Manual M.Sc. ""Data Science"" (M1552","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q07,easy,In which semester is the Advanced Machine Learning course offered?,Winter semester (WiSe).,0,0,0,0.0,1.49,"Based on the provided context, I recommend that you take the ""Master in Data Science"" program. This program covers advanced machine learning topics, including probabilistic models and algorithms for handling uncertainty, which aligns with the content of Module Manual M1552: Advanced Machine Learning. The Master in Data Science","The course content of semester 3 (year 2) depends on which partner institution is chosen. Based on their speciﬁc core competencies each partner oﬀers | courses which complement / deepen the  study program of the first year. |  | In semester 4 all students undertake a thesis project at the institution where they spent the 3rd semester. |  |  | Module Manual M.Sc. ""Global Technology and Innovation Management & | Entrepreneurship"" |  | Core Qualification",N/A
Sparse (BM25),Q08,medium,Is Advanced Machine Learning compulsory for Data Science students?,Yes — it is listed as Core Qualification: Compulsory in the Data Science curriculum.,1,1,1,1.0,1.49,"I don't have enough information about the specific module ""M0523: Business & Management"" in the provided context to determine whether it is compulsory for Data Science students. However, I can suggest that you review the Module Manual M.Sc. ""Data Science"" and check if this module includes any modules","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q09,medium,Which TUHH programs include Advanced Machine Learning in their curriculum?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, and Theoretical Mechanical Engineering.",0,0,0,0.0,1.24,"Based on the provided context, the following TUHH programs include Advanced Machine Learning in their curriculum: |  | - Master in Data Science (M.Sc. ""Data Science"") | - Master in Computer Science (M.Sc. ""Computer Science"")","Following Curricula |  |  | Module Manual M.Sc. ""Data Science"" |  | Module M2073: Advanced Ethics of Machine Learning |  | Courses |  | Title |  | Advanced Ethics of Machine Learning (L3399) |  | Case Studies in Advanced Ethics of Machine Learning (L3400) |  | Module Responsible Prof. Maximilian Kiener |  | Admission Requirements None |  | Recommended Previous |  | Basics of machine learning |  | Knowledge |  | Typ |  | Lecture |  | Seminar |  | Hrs/wk |  | 2 |  | 2 |  | CP |  | 3 |  | 3",N/A
Sparse (BM25),Q10,medium,What is the workload for the Advanced Machine Learning module?,Total workload 124 hours: Independent Study Time 62 h + Study Time in Lecture 28 h for the course component.,0,0,0,0.0,1.44,"The workload for the Advanced Machine Learning module (M2073) covers 6 CP, which includes: |  | * Module Manual M.Sc. ""Data Science"" covering Advanced Machine Learning | * 4 additional compulsory modules: |  + Structures |  + Discussion of contribution of ice properties, hydrodynamics and rubble | ","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
